career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,skills_parsed,skills_count,related_skills_parsed,matched_score,job_target,min_years_exp_req,match_category,degree_first,major_first,position_last,overlap_with_job_skills,kkni_level_inferred
"Proficient Entry Level Electrical Engineer with excellent technical, analytical and communication skills. Willing to relocate anywhere in the US.","['Testing', 'Troubleshooting', 'Embedded Hardware & Software', 'Microprocessors', 'Computer systems', 'Hardware & Software design', 'Digital signal processing', 'Analog and Digital Filter design', 'Reading Circuit Schematics', 'Circuit Design and Analysis', 'Digital logic', 'Soldering', 'Project management', 'Electronics', 'Low and High voltage devices', 'Low voltage power consumption', 'Power Systems Analysis', 'Active Noise Cancelling (ANC)', 'Research and Development', 'Solar PV systems Design', 'NationalElectric Code (NEC)', 'Engineering Ethics', 'Failure Analysis', 'Logistics', 'Oscilloscope', 'Logic analyzer', 'Multimeters', 'MS Visual Studio', 'MS Office', 'MAC OS', 'Matlab', 'Simulink', 'Mathcad', 'Verilog', 'Orcad', 'PSPICE', 'SolidWorks', 'AutoCAD', 'Inventor', 'PowerWorld', 'ETAP', 'HelioScope', 'C++', 'C#', 'C languages']","['Oklahoma Christian University', 'Oklahoma Christian University']","['Master of Science', 'Bachelor of Science']","['August 2015', 'April 2014']","['GPA: 3.8', 'GPA: 3.8']","['GPA', 'GPA']","['Engineering Electrical Engineering', 'Electrical Engineering']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['July 2015', 'October 2014', 'September 2014']","[None, None, 'August 2015']","[['Active Noise Control (ANC)', '3-D Noise Mapping', 'Passive Noise Control'], ['PowerWorld', 'ETAP', 'Three-Phase Power Systems circuit analysis', 'cost analysis'], ['AutoCAD Drafting', 'SPCC plans', 'data entry', 'communication', 'leadership']]","['N/A', 'N/A', 'Engineering Intern']","['N/A', 'N/A', 'N/A']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution","['testing', 'troubleshooting', 'embedded hardware & software', 'microprocessors', 'computer systems', 'hardware & software design', 'digital signal processing', 'analog and digital filter design', 'reading circuit schematics', 'circuit design and analysis', 'digital logic', 'soldering', 'project management', 'electronics', 'low and high voltage devices', 'low voltage power consumption', 'power systems analysis', 'active noise cancelling (anc)', 'research and development', 'solar pv systems design', 'nationalelectric code (nec)', 'engineering ethics', 'failure analysis', 'logistics', 'oscilloscope', 'logic analyzer', 'multimeters', 'ms visual studio', 'ms office', 'mac os', 'matlab', 'simulink', 'mathcad', 'verilog', 'orcad', 'pspice', 'solidworks', 'autocad', 'inventor', 'powerworld', 'etap', 'helioscope', 'c++', 'c#', 'c languages']",45,"['data entry', 'spcc plans', '3-d noise mapping', 'three-phase power systems circuit analysis', 'communication', 'etap', 'autocad drafting', 'active noise control (anc)', 'cost analysis', 'leadership', 'powerworld', 'passive noise control']",0.55,HR Officer,,Mid Match,Master of Science,Engineering Electrical Engineering,N/A,0,
"Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Machine Learning Algorithms. Also experienced in data mining, warehouse maintaining, and visualization. In search of a role where I can nurture my skills and contribute to the growth of the company and myself.","['Data Science', 'Data Analysis', 'Data Structures', 'Data Warehousing', 'Data Visualization', 'Data Mining', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'MongoDB', 'Python', 'Django', 'Java', 'SQL', 'C++']","['Anna University', 'Imarticus Learning']","['B.Tech', ""Master's Diploma""]","['2019', '2021']","[None, None]","[None, None]","['Computers', 'Analytics And Artificial Intelligence']",['Impiger Technologies'],[None],['Jul 2019'],['Apr 2020'],"[['Data Pipeline', 'Data Cleaning', 'Data Analysis', 'Data Visualization', 'Large-Scale Models']]",['Junior Research Fellow'],['N/A'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['data science', 'data analysis', 'data structures', 'data warehousing', 'data visualization', 'data mining', 'machine learning', 'artificial intelligence', 'linear regression', 'mongodb', 'python', 'django', 'java', 'sql', 'c++']",15,"['data cleaning', 'data analysis', 'data visualization', 'data pipeline', 'large-scale models']",0.85,Machine Learning (ML) Engineer,5.0,High Match,B.Tech,Computers,Junior Research Fellow,3,7.0
,"['automotive', 'basic', 'broadcast', 'cables', 'cable', 'cabling', 'carpentry', 'chill', 'CA', 'conversion', 'Council', 'SC', 'Direction', 'documentation', 'electrical systems', 'electronics', 'equipment installation', 'experimentation', 'FAX', 'forms', 'government', 'GPS', 'HVAC', 'inspecting', 'Inspection', 'laboratory testing', 'leadership', 'team leadership', 'Team Lead', 'team leader', 'lighting', 'Logic', 'Maple', 'mechanical', 'Navy', 'NDS', 'Network', 'OSS', 'personnel', 'plumbing', 'Positioning', 'Power Supply', 'power supplies', 'quality', 'Radio', 'recording', 'San', 'scheduling', 'sorting', 'technical documentation', 'Technician V', 'telecommunications', 'transmission', 'troubleshooting', 'UHF', 'upgrades', 'upgrade', 'VHF', 'Video', 'welder', 'welding', 'written communications']",['Norview High School'],['Diploma'],['1988'],['N/A'],['N/A'],['Electrical Apprenticeship'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['04/2014', '04/1996', '08/1995', '09/1991', '01/1985', '01/1983']","['07/2015', '07/2015', '04/1996', '08/1995', '01/1991', '01/1985']","[['electrical', 'communications', 'electronics', 'telecommunications', 'leadership', 'GPS', 'design', 'coordination', 'scheduling', 'planning', 'technical documentation'], ['electrical', 'communications', 'team leadership', 'GPS', 'documentation', 'testing', 'installation'], ['production', 'supervision', 'maintenance', 'electrical systems', 'mechanical systems'], ['installation', 'design', 'maintenance', 'repair', 'electrical systems', 'sheet metal fabrication'], ['installation', 'troubleshooting', 'repair', 'supervision'], ['installation', 'troubleshooting']]","['Engineering Technician V', 'Engineering Technician V', 'Maintenance Technician', 'Installation Technician', 'Electrical/Mechanical Foreman', 'Electrical Apprentice']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","['automotive', 'basic', 'broadcast', 'cables', 'cable', 'cabling', 'carpentry', 'chill', 'ca', 'conversion', 'council', 'sc', 'direction', 'documentation', 'electrical systems', 'electronics', 'equipment installation', 'experimentation', 'fax', 'forms', 'government', 'gps', 'hvac', 'inspecting', 'inspection', 'laboratory testing', 'leadership', 'team leadership', 'team lead', 'team leader', 'lighting', 'logic', 'maple', 'mechanical', 'navy', 'nds', 'network', 'oss', 'personnel', 'plumbing', 'positioning', 'power supply', 'power supplies', 'quality', 'radio', 'recording', 'san', 'scheduling', 'sorting', 'technical documentation', 'technician v', 'telecommunications', 'transmission', 'troubleshooting', 'uhf', 'upgrades', 'upgrade', 'vhf', 'video', 'welder', 'welding', 'written communications']",62,"['troubleshooting', 'installation', 'coordination', 'supervision', 'communications', 'scheduling', 'testing', 'planning', 'electronics', 'telecommunications', 'electrical', 'technical documentation', 'team leadership', 'design', 'sheet metal fabrication', 'gps', 'documentation', 'mechanical systems', 'electrical systems', 'leadership', 'production', 'repair', 'maintenance']",0.816666667,Database Administrator (DBA),1.0,High Match,Diploma,Electrical Apprenticeship,Engineering Technician V,0,5.0
Graduate Looking for roles related to BU analyst and machine learning.,"['Requirement Analysis', 'Machine Learning', 'Predictive Analytics', 'Python', 'Tableau', 'PowerBI', 'R', 'SQL', 'Advanced Excel', 'Business Analytics']",['Sri Venkateshwara University (SVU)'],['B.CA'],['2020'],['N/A'],['N/A'],['Computer Applications'],['CDX Infotech'],['N/A'],['August 2019'],['January 2020'],"[['Python', 'SQL', 'Tableau', 'Power BI']]",['BU Analyst Intern'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","['requirement analysis', 'machine learning', 'predictive analytics', 'python', 'tableau', 'powerbi', 'r', 'sql', 'advanced excel', 'business analytics']",10,"['python', 'power bi', 'tableau', 'sql']",0.716666667,Asst. Manager/ Manger (Administrative),5.0,Mid Match,B.CA,Computer Applications,BU Analyst Intern,3,7.0
I am a fresher who is looking to work as a software developer in Machine Learning Application building and deployment. I am experienced in both machine learning and deep learning and have worked on few collaborative projects on such.,"['Web Development', 'Neural Networks', 'Deep Learning', 'Machine Learning', 'Python', 'TensorflowJS', 'Front End', 'HTML', 'CSS', 'JavaScript', 'Flutter']",['SGGS College of Engineering and Technology'],['B.Tech'],['2020'],['N/A'],[None],['N/A'],['ASI Technologies'],[None],['Dec 2020'],['Ongoing'],"[['Neural Networks', 'Machine Learning']]",['Intern'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","['web development', 'neural networks', 'deep learning', 'machine learning', 'python', 'tensorflowjs', 'front end', 'html', 'css', 'javascript', 'flutter']",11,"['neural networks', 'machine learning']",0.266666667,Site Engineer,1.0,Low Match,B.Tech,N/A,Intern,3,5.0
"A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. More than six years of experience working as a researcher, data analyst, and environmental science and Technology Instructor. Experience in SQL, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. Customer segmentation, product positioning and mapping and conjoint analysis Modelling: Design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict Diversified experience with Engineering, Manufacturing, Retailing, Higher Education and IT /Data related companies Fascinated by learning cutting edge technologies, such as; Data Mining and Machine Learning Handled a team of 4 during my 3 years of Tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.","['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['University of New Hampshire', 'UNESCO-IHE', 'Debub University']","['Master of Science', 'Master of Science', 'Bachelor of Science']","['2017', '2010', '2004']","['4.0', None, None]","['GPA', None, None]","['Analytics', 'Environmental Science and Technology', 'Resource Management']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2013', '01/2007', '01/2004']","['01/2016', '01/2012', '01/2006']","[['SQL', 'JMP'], ['SQL', 'SPSS'], None]","['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management']","['City, State', 'N/A', 'N/A']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","['asp.net 4.5', 'academic', 'clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'environmental science', 'gis', 'html', 'instructor', 'lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'c#', 'microsoft sql', 'modeling', 'natural', 'oracle', 'process development and engineering', 'processes', 'progress', 'python', 'quality', 'researching', 'research', 'sas', 'shipping', 'spss', 'sql', 'statistics', 'tableau', 'teaching', 'technical support', 'workshops']",46,"['spss', 'jmp', 'sql']",0.85,"Manager- Human Resource Management (HRM)
",5.0,High Match,Master of Science,Analytics,Engineering and Quality Technician,3,7.0
,"['Excellent communication', 'Inspecting', 'Team Lead', 'Modems', 'Processes', 'Scheduling', 'Technician', 'Trainer', 'Troubleshooting']",['ITT Techinical Institute'],['Bachelor of Science'],['2000'],['GPA: 8'],['GPA'],['Electronic Engineering Electronics Engineering Field'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['10/2000', '08/1999', '08/1998']","['Current', '09/1999', '08/1999']","[['Operating systems and equipment', 'Training', 'Coordination', 'Fabrication', 'Maintenance'], ['Building and testing', 'Inspection', 'Testing', 'Improvement', 'Implementation'], ['Troubleshooting', 'Repair', 'Fabrication line management']]","['Self-Sustaining Engineering Technician', 'Production Technician', 'Electronic Technician']","['City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","['excellent communication', 'inspecting', 'team lead', 'modems', 'processes', 'scheduling', 'technician', 'trainer', 'troubleshooting']",9,"['coordination', 'building and testing', 'inspection', 'operating systems and equipment', 'training', 'fabrication', 'improvement', 'testing', 'repair', 'troubleshooting', 'implementation', 'fabrication line management', 'maintenance']",0.716666667,Intern (Generative AI Engineering - 2D/3D Image Generation),,Mid Match,Bachelor of Science,Electronic Engineering Electronics Engineering Field,Self-Sustaining Engineering Technician,0,
Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,"['Data Analysis', 'Data Analytics', 'Business Analysis', 'R', 'SAS', 'PowerBi', 'Tableau', 'Data Visualization', 'Business Analytics', 'Machine Learning']","['Delhi University - Hansraj College', 'Delhi University - Hansraj College']","['B.Sc (Maths)', 'M.Sc (Science) (Statistics)']","['2015', '2018']","['N/A', 'N/A']","['N/A', 'N/A']","['Mathematics', 'Statistics']",['BIB Consultancy'],['N/A'],['Sep 2019'],['Till Date'],"[['Data Analysis', 'Business Analysis', 'Machine Learning']]",['Business Analyst'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","['data analysis', 'data analytics', 'business analysis', 'r', 'sas', 'powerbi', 'tableau', 'data visualization', 'business analytics', 'machine learning']",10,"['machine learning', 'business analysis', 'data analysis']",0.65,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3.0,Mid Match,B.Sc (Maths),Mathematics,Business Analyst,1,6.0
,"['Machine Learning', 'Python', 'SQL', 'Artificial Intelligence', 'Business Analytics', 'Data Extraction', 'Data Analysis', 'Python', 'Haskell', 'Flutter', 'Android']","['D&D University, Daman and Diu']",['B.Tech'],['2018'],['N/A'],['N/A'],['N/A'],['AdSense Media'],['N/A'],['August 2018'],['Till Date'],"[['Machine Learning', 'Data Analysis', 'Data Science']]",['Machine Learning Developer'],['N/A'],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","['machine learning', 'python', 'sql', 'artificial intelligence', 'business analytics', 'data extraction', 'data analysis', 'python', 'haskell', 'flutter', 'android']",11,"['data science', 'machine learning', 'data analysis']",0.503333333,Executive - VAT,1.0,Mid Match,B.Tech,N/A,Machine Learning Developer,3,5.0
I seek to join a dynamic firm where my attention to detail and creative professional services can be valuable.,"['Microsoft Office Suite', 'Dynamic AX', 'Access', 'Excel', 'PowerPoint', 'Word', 'Microsoft Teams', 'Oracle', 'PeopleSoft', 'Sales Force', 'SAP', 'Jira', 'SharePoint', 'Gantt Chart Scheduler', 'strong written and verbal communication skills', 'project management lifecycle', 'Streamline', 'ad', 'advertisements', 'advertising', 'ad copy', 'agile', 'automation', 'billing', 'budgets', 'cable', 'hardware', 'client', 'clients', 'database', 'engineering projects', 'financial', 'focus', 'inventory', 'leadership', 'managing', 'market trends', 'processes', 'project management', 'proposals', 'real time', 'reporting', 'Sales', 'scheduling', 'verbal communication skills', 'workbench', 'written communication skills']",['Oakland University'],['Bachelor of Arts'],['05/2015'],['N/A'],['N/A'],['Communication'],"['Company Name', 'Company Name', 'Company Name']","['N/A', 'N/A', 'N/A']","['05/2015', '07/2017', '02/2010']","['07/2017', '03/2017', '05/2015']","[['project management', 'client relationship', 'sales processes', 'data automation', 'agile methodology', 'Microsoft AX 365'], ['project management', 'client relationship', 'sales processes', 'data automation', 'agile methodology', 'Microsoft AX 365'], ['advertising', 'client relations', 'inventory management', 'technical procedures', 'problem-solving']]","['Engineering Project Manager', 'Sr. Project Manager', 'Sr. Traffic Coordinator Ad Manager']","['City, State', 'City, State', 'City, State']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","['microsoft office suite', 'dynamic ax', 'access', 'excel', 'powerpoint', 'word', 'microsoft teams', 'oracle', 'peoplesoft', 'sales force', 'sap', 'jira', 'sharepoint', 'gantt chart scheduler', 'strong written and verbal communication skills', 'project management lifecycle', 'streamline', 'ad', 'advertisements', 'advertising', 'ad copy', 'agile', 'automation', 'billing', 'budgets', 'cable', 'hardware', 'client', 'clients', 'database', 'engineering projects', 'financial', 'focus', 'inventory', 'leadership', 'managing', 'market trends', 'processes', 'project management', 'proposals', 'real time', 'reporting', 'sales', 'scheduling', 'verbal communication skills', 'workbench', 'written communication skills']",47,"['agile methodology', 'microsoft ax 365', 'client relationship', 'advertising', 'technical procedures', 'inventory management', 'sales processes', 'client relations', 'problem-solving', 'data automation', 'project management']",0.85,"Manager- Human Resource Management (HRM)
",5.0,High Match,Bachelor of Arts,Communication,Engineering Project Manager,0,7.0
I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,"['Machine Learning Engineer', 'C++', 'Technical Documentation', 'Natural Language Processing', 'SQL', 'Tableau', 'Python', 'AWS', 'Azure', 'SAP', 'OracleDB', 'Heroku']","['KLE College of Engineering, Belagavi']",['B.Tech'],['2018'],['N/A'],['N/A'],['Telecommunication'],['VoyaGenius Labs'],['N/A'],['Dec 2018'],['Ongoing'],"[['Machine Learning', 'Geocoding']]",['Software Developer (ML)'],['N/A'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","['machine learning engineer', 'c++', 'technical documentation', 'natural language processing', 'sql', 'tableau', 'python', 'aws', 'azure', 'sap', 'oracledb', 'heroku']",12,"['geocoding', 'machine learning']",0.35,"Manager- Human Resource Management (HRM)
",5.0,Low Match,B.Tech,Telecommunication,Software Developer (ML),3,7.0
,"['Agile coach', 'Product owner', 'Team lead', 'Scrum master', 'Web application development', 'UI design', 'Relational database design', 'ASP', 'C#', 'VB.NET', 'SOAP', 'REST', 'JQuery', 'Bootstrap', 'CSS', 'HTML5', 'MSSQL', 'MYSQL', 'DTS', 'SSIS', 'SSRS', 'IIS 5', 'IIS 6', 'Agile', 'Scrum', 'Kanban', 'Objective C', 'PHP', 'Perl']","['Milwaukee Area Technical College', 'MRA']","['Associate of Science', 'Principles of Management']","['2015', '2011']","['N/A', 'N/A']","['N/A', 'N/A']","['Software Engineering', 'N/A']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['Mar 2011', 'Nov 2008', 'Nov 2006', 'Dec 2005']","['Current', 'Apr 2011', 'Dec 2008', 'Dec 2006']","[['Agile', 'Scrum', 'Technical architecture', 'Mentoring'], ['Web development', 'Agile principles', 'Mentoring'], ['Web development'], ['Maintenance', 'Tier 2 support']]","['Engineering Team Lead', 'Software Engineer', 'Web Developer', 'Jr. Software Engineer']","['City , State', 'City , State', 'City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['agile coach', 'product owner', 'team lead', 'scrum master', 'web application development', 'ui design', 'relational database design', 'asp', 'c#', 'vb.net', 'soap', 'rest', 'jquery', 'bootstrap', 'css', 'html5', 'mssql', 'mysql', 'dts', 'ssis', 'ssrs', 'iis 5', 'iis 6', 'agile', 'scrum', 'kanban', 'objective c', 'php', 'perl']",29,"['agile', 'mentoring', 'agile principles', 'scrum', 'web development', 'technical architecture', 'tier 2 support', 'maintenance']",0.583333333,Mechanical Engineer,2.0,Mid Match,Associate of Science,Software Engineering,Engineering Team Lead,1,6.0
,"['Delivery', 'ergonomics', 'Lighting', 'Paint', 'PLC', 'PLC 5', 'power distribution', 'producing', 'programming', 'Project Management', 'Robotic systems', 'safety', 'troubleshooting', 'Vision Systems']","['Central Alabama Community College', 'Talladega High School']","['Associates Degree', 'High School Diploma']","['1995', '1992']","['N/A', 'N/A']","['N/A', 'N/A']","['Applied Science Electronics Technology', 'N/A']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['November 2000', 'January 1996', 'January 1993']","['Current', 'January 2000', 'January 1995']","[['Project Management', 'Programming', 'Troubleshooting', 'Robotics', 'Vision Systems'], ['Maintenance', 'Repair', 'Power Distribution'], ['Operation', 'Maintenance']]","['Engineering Specialist', 'Industrial Electrician', 'Operator']","['City, State', 'City, State', 'City, State']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","['delivery', 'ergonomics', 'lighting', 'paint', 'plc', 'plc 5', 'power distribution', 'producing', 'programming', 'project management', 'robotic systems', 'safety', 'troubleshooting', 'vision systems']",14,"['power distribution', 'troubleshooting', 'maintenance', 'repair', 'operation', 'programming', 'vision systems', 'robotics', 'project management']",0.616666667,Executive - VAT,1.0,Mid Match,Associates Degree,Applied Science Electronics Technology,Engineering Specialist,0,5.0
,,"['University of Warsaw', 'University of Warsaw']","['Ph.D.', 'M.S.']","['1980', '1977']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Computer Science']","['University of Kentucky', 'University of Kentucky', 'University of Kentucky', 'University of Kentucky', 'Columbia University', 'Columbia University', 'Columbia University', 'University of Warsaw', 'University of Warsaw']","[None, None, None, None, None, None, None, None, None]","['2022', '1990', '1993', '1987', '1985', '1983', '1982', '1980', '1977']","['∞', '2022', '2007', '1990', '1987', '1985', '1983', '1982', '1980']","[None, None, None, None, None, None, None, None, None]","['Professor Emerytus', 'Professor', 'Director of Graduate Studies', 'Associate Professor', 'Associate Professor', 'Assistant Professor', 'Visiting Assistant Professor', 'Assistant Professor', 'Teaching and Research Assistant']","['Lexington, KY', 'Lexington, KY', 'Lexington, KY', 'Lexington, KY', 'New York, NY', 'New York, NY', 'New York, NY', 'Warsaw, Poland', 'Warsaw, Poland']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",[],0,[],0.65,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3.0,Mid Match,Ph.D.,Computer Science,Professor Emerytus,0,6.0
Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['V.V.I.T'],['B.TECH'],['2018'],['N/A'],['N/A'],['N/A'],['ACS Solutions Pvt. Ltd.'],['N/A'],['May 2018'],['Ongoing'],"[['Machine Learning', 'React', 'MQTT', 'Cloud']]",['SOFTWARE ENGINEER - MACHINE LEARNING'],['N/A'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","['python', 'machine learning', 'deep learning', 'data analysis', 'computer vision', 'aws', 'scikit-learn', 'numpy', 'java', 'c++', 'sap']",11,"['mqtt', 'cloud', 'machine learning', 'react']",0.716666667,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4.0,Mid Match,B.TECH,N/A,SOFTWARE ENGINEER - MACHINE LEARNING,3,6.0
